比賽時間,比賽時間,主客隊,主客隊,讓分,讓分,讓分,讓分,大小,大小,大小,獨贏,獨贏,一輸二贏,一輸二贏,一輸二贏,一輸二贏,單雙,單雙
03-23,07:30,ENCE,Astralis,,5-100,0.920,0.880,25-100,0.840,0.940,2.780,0.290,,一輸,0.930,0.930,1.100,0.820
03-23,07:30,FaZe Clan,MIBR,,2-100,1.020,0.770,26-100,0.830,0.950,1.350,0.630,,一輸,0.930,0.930,1.140,0.790
03-23,07:30,Ninjas in Pyjamas,Team Liquid,,3-100,0.990,0.800,26-100,0.880,0.900,1.790,0.470,,一輸,0.930,0.930,1.140,0.790
03-23,14:00,Victory Five,SN Gaming,,1-100,0.440,1.650,2-100,1.020,0.760,1.520,0.590,,一輸,0.930,0.930,0.930,0.930
03-23,17:00,Topsports Gaming,Edward Gaming,1-100,,1.160,0.670,2-100,1.150,0.660,0.390,2.280,一輸,,0.930,0.930,0.930,0.930
03-23,19:00,Invictus Gaming,Royal Never Give Up,1-100,,1.570,0.470,2-100,1.030,0.750,0.630,1.410,一輸,,0.930,0.930,0.930,0.930
03-23,16:00,KT Rolster,Jin Air Green Wings,1-100,,0.750,1.060,2-100,1.440,0.500,0.230,3.710,一輸,,0.930,0.930,0.930,0.930
03-23,19:00,DAMWON Gaming,Griffin,,1-100,0.940,0.860,2-100,1.280,0.580,3.130,0.280,,一輸,0.930,0.930,0.930,0.930
03-23,15:00,X Quest,Rogue Warriors,,1-100,1.360,0.550,3-100,0.490,1.450,3.230,0.240,,一輸,0.930,0.930,0.930,0.930
03-23,18:00,GK,ViCi Gaming,1-100,,0.640,1.200,3-100,0.430,1.610,0.310,2.570,一輸,,0.930,0.930,0.930,0.930
03-23,09:00,Atlanta Reign,Philadelphia Fusion,,1-100,0.760,1.040,0平,0.920,0.920,1.730,0.520,,一輸,0.930,0.930,0.930,0.930
03-23,11:00,San Francisco Shock,Toronto Defiant,1-100,,1.440,0.510,0平,0.920,0.920,0.750,1.190,一輸,,0.930,0.930,0.930,0.930
